record_date,power_consumption,dow,doy,day,month,year,season,1_m_mean,2_m_mean,1_m_std,2_m_std
2015-06-23,3752153,1,174,23,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-24,3883363,2,175,24,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-25,4029993,3,176,25,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-26,3961676,4,177,26,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-27,3732367,5,178,27,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-28,3459483,6,179,28,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-29,3775745,0,180,29,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-30,3911804,1,181,30,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-07-01,2692956,2,182,1,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-02,3642866,3,183,2,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-03,4044005,4,184,3,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-04,3826577,5,185,4,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-05,3552897,6,186,5,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-06,3797621,0,187,6,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-07,3198852,1,188,7,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-08,3812753,2,189,8,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-09,3959028,3,190,9,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-10,4067013,4,191,10,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-11,3851053,5,192,11,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-12,3511131,6,193,12,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-13,4034339,0,194,13,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-14,3550189,1,195,14,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-15,4018448,2,196,15,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-16,4248386,3,197,16,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-17,4095465,4,198,17,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-18,3950332,5,199,18,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-19,3765951,6,200,19,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-20,4112606,0,201,20,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-21,4276542,1,202,21,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-22,4102868,2,203,22,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-23,4145418,3,204,23,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-24,4212612,4,205,24,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-25,4039046,5,206,25,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-26,3788798,6,207,26,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-27,4257147,0,208,27,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-28,4349349,1,209,28,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-29,4326839,2,210,29,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-30,4295408,3,211,30,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-07-31,4225719,4,212,31,7,2015,3,3790308.0,3755261.0,189705.251546,269088.249264
2015-08-01,3679973,5,213,1,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-02,3513088,6,214,2,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-03,4109362,0,215,3,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-04,4249464,1,216,4,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-05,4287459,2,217,5,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-06,4402083,3,218,6,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-07,4369295,4,219,7,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-08,4161898,5,220,8,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-09,3787603,6,221,9,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-10,4041268,0,222,10,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-11,3903333,1,223,11,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-12,4085366,2,224,12,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-13,4168955,3,225,13,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-14,4214550,4,226,14,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-15,4047430,5,227,15,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-16,3817657,6,228,16,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-17,4155488,0,229,17,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-18,4015123,1,230,18,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-19,3948699,2,231,19,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-20,3869580,3,232,20,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-21,3343687,4,233,21,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-22,3858150,5,234,22,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-23,3624080,6,235,23,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-24,3761623,0,236,24,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-25,3909831,1,237,25,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-26,4011378,2,238,26,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-27,4029224,3,239,27,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-28,3487881,4,240,28,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-29,3867982,5,241,29,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-30,3811394,6,242,30,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-08-31,4109812,0,243,31,8,2015,3,3927490.0,3790308.0,359043.725882,189705.251546
2015-09-01,4066668,1,244,1,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-02,3925296,2,245,2,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-03,3177414,3,246,3,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-04,3566662,4,247,4,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-05,3757287,5,248,5,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-06,3841049,6,249,6,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-07,4018482,0,250,7,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-08,3691852,1,251,8,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-09,3918906,2,252,9,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-10,3929441,3,253,10,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-11,3927760,4,254,11,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-12,3633339,5,255,12,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-13,3447496,6,256,13,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-14,3713833,0,257,14,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-15,3832844,1,258,15,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-16,3749554,2,259,16,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-17,3946919,3,260,17,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-18,3975839,4,261,18,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-19,3820881,5,262,19,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-20,3608073,6,263,20,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-21,3957586,0,264,21,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-22,4039707,1,265,22,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-23,4017043,2,266,23,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-24,4037352,3,267,24,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-25,4040154,4,268,25,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-26,3497499,5,269,26,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-27,3356801,6,270,27,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-28,3873351,0,271,28,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-29,4000522,1,272,29,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-09-30,4542677,2,273,30,9,2015,3,3956216.0,3927490.0,255876.049688,359043.725882
2015-10-01,2841489,3,274,1,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-02,2776441,4,275,2,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-03,2754225,5,276,3,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-04,3016213,6,277,4,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-05,3443517,0,278,5,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-06,3629157,1,279,6,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-07,3669034,2,280,7,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-08,4002839,3,281,8,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-09,3773217,4,282,9,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-10,3718483,5,283,10,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-11,3236485,6,284,11,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-12,3676439,0,285,12,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-13,3708587,1,286,13,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-14,3748435,2,287,14,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-15,3538810,3,288,15,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-16,3807975,4,289,16,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-17,3802147,5,290,17,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-18,3521948,6,291,18,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-19,3719963,0,292,19,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-20,3608500,1,293,20,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-21,3926344,2,294,21,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-22,3926220,3,295,22,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-23,3914699,4,296,23,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-24,3945502,5,297,24,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-25,3512930,6,298,25,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-26,3750753,0,299,26,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-27,3929170,1,300,27,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-28,3838921,2,301,28,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-29,3915735,3,302,29,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-30,3840502,4,303,30,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-10-31,3232390,5,304,31,10,2015,4,3830409.0,3956216.0,262129.577883,255876.049688
2015-11-01,3443912,6,305,1,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-02,3599595,0,306,2,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-03,3796895,1,307,3,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-04,3903614,2,308,4,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-05,3920772,3,309,5,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-06,3910196,4,310,6,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-07,3819933,5,311,7,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-08,3500779,6,312,8,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-09,3382794,0,313,9,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-10,3347273,1,314,10,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-11,3452265,2,315,11,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-12,3407477,3,316,12,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-13,3528801,4,317,13,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-14,3377359,5,318,14,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-15,3377554,6,319,15,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-16,3697464,0,320,16,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-17,3862200,1,321,17,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-18,3854823,2,322,18,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-19,3913774,3,323,19,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-20,3903341,4,324,20,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-21,3820628,5,325,21,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-22,3198030,6,326,22,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-23,3939268,0,327,23,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-24,4025841,1,328,24,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-25,3608402,2,329,25,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-26,4160858,3,330,26,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-27,4169118,4,331,27,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-28,3927863,5,332,28,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-29,3566745,6,333,29,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-11-30,3782338,0,334,30,11,2015,4,3604099.0,3830409.0,353345.866247,262129.577883
2015-12-01,3876643,1,335,1,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-02,3998786,2,336,2,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-03,4030378,3,337,3,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-04,3872078,4,338,4,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-05,3701451,5,339,5,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-06,3723541,6,340,6,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-07,3983834,0,341,7,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-08,4140712,1,342,8,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-09,4068916,2,343,9,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-10,4232933,3,344,10,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-11,4208018,4,345,11,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-12,4001223,5,346,12,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-13,3856921,6,347,13,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
2015-12-14,4117837,0,348,14,12,2015,1,3706663.0,3604099.0,260378.889146,353345.866247
